Channel,Time
387,2138.1537 
578,2140.1651 
802,2141.1648 
322,2144.1834 
1360,2145.1483 
1315,2146.1506 
1315,2147.1506 
664,2148.1494 
1257,2149.1514 
135,2155.1489 
563,2156.2045 
1299,2157.1480 
474,2158.1518 
501,2159.1500 
483,2164.1531 
133,2166.2066 
677,2167.1486 
488,2170.2858 
413,2178.1662 
845,2179.1714 
304,2182.1632 
684,2183.1602 
741,2186.2947 
827,2188.3880 
415,2190.2405 
889,2196.1728 
449,2200.1701 
1295,2204.1667 
116,2205.1650 
408,2206.1670 
422,2208.1652 
1156,2212.1695 
2579,2215.1668 
1298,2216.1688 
323,2218.1655 
429,2219.1649 
206,2222.1695 
1379,2223.1590 
467,2224.1654 
1366,2227.1656 
483,2228.1703 
308,2231.1643 
243,2234.1707 
109,2235.1815 
874,2236.1698 
453,2237.1680 
233,2243.1705 
191,2244.1710 
220,2250.1706 
333,2255.1658 
739,2256.1725 
1334,2258.1692 
160,2259.1859 
1193,2260.1630 
152,2263.1703 
445,2264.1963 
4095,2265.1565 
271,2266.1945 
1320,2268.2284 
571,2269.2562 
460,2270.2854 
528,2271.1607 
511,2272.1753 
486,2273.1680 
345,2273.1680 
356,2277.1626 
1278,2278.1687 
1326,2280.1617 
165,2283.1634 
292,2284.1584 
463,2285.1566 
262,2286.1700 
312,2287.1653 
283,2288.1735 
128,2290.1702 
1281,2295.1657 
334,2300.1708 
1384,2301.1673 
2529,2302.1872 
162,2303.1553 
230,2304.1623 
584,2306.2974 
437,2307.2801 
416,2314.2782 
524,2317.2711 
1264,2319.2795 
676,2323.2651 
1384,2326.2817 
757,2327.2659 
494,2327.2659 
379,2329.2538 
348,2331.2637 
320,2336.2823 
775,2338.2752 
172,2339.2375 
724,2341.2120 
243,2342.2705 
880,2343.2628 
149,2343.2628 
722,2344.2929 
753,2348.1925 
908,2349.1670 
1327,2351.1886 
640,2353.2360 
267,2357.2818 
603,2358.2534 
491,2359.2282 
222,2360.2855 
445,2361.2176 
184,2370.3222 
474,2374.3367 
308,2377.2576 
584,2378.2403 
213,2383.2069 
529,2384.3163 
454,2385.2665 
1026,2386.2451 
442,2391.2611 
359,2392.2491 
1333,2396.2077 
1341,2397.2446 
136,2401.2061 
137,2403.2561 
151,2404.2538 
165,2407.2557 
275,2408.2580 
1385,2409.2513 
1247,2411.2562 
180,2412.2503 
416,2413.1927 
312,2418.2013 
373,2422.3060 
188,2430.2107 
264,2431.2069 
766,2434.2059 
172,2435.2597 
1352,2437.2603 
212,2438.2014 
1034,2442.2613 
163,2444.2004 
1381,2445.2100 
313,2446.2600 
199,2447.2021 
144,2451.2585 
1365,2452.2031 
713,2454.2628 
972,2455.2540 
1404,2456.1911 
658,2457.2059 
265,2458.2615 
272,2460.2211 
1303,2462.2608 
265,2463.2389 
1313,2464.1923 
303,2466.2654 
945,2475.2198 
401,2480.2109 
456,2481.2004 
354,2483.2194 
1273,2485.3024 
589,2486.2131 
474,2487.2163 
502,2488.2064 
586,2489.1979 
146,2490.2306 
1245,2491.2034 
459,2492.2004 
1245,2493.2089 
1297,2494.2018 
1052,2495.2217 
133,2496.2070 
1044,2498.2090 
1007,2503.1990 
1336,2504.2209 
437,2507.1772 
597,2511.1739 
125,2513.1730 
393,2514.1800 
438,2520.1763 
1349,2523.1809 
287,2527.1805 
383,2528.1761 
127,2529.1849 
1308,2530.1805 
291,2531.1728 
347,2532.1813 
420,2533.1734 
113,2543.1737 
132,2544.1793 
419,2549.1783 
339,2550.1800 
218,2556.2340 
1193,2557.2079 
764,2563.1773 
172,2564.2145 
102,2566.2171 
584,2567.1854 
1386,2568.2404 
511,2570.2404 
358,2571.1891 
284,2572.1891 
665,2573.1853 
1265,2574.1894 
708,2575.2174 
1345,2576.2382 
539,2577.2323 
526,2582.2404 
958,2583.2383 
168,2584.1888 
134,2585.2031 
321,2589.2946 
633,2592.2963 
282,2595.2602 
133,2596.2473 
393,2599.3707 
363,2600.1914 
412,2601.1849 
505,2606.4071 
1263,2610.3842 
125,2613.3774 
241,2614.2390 
238,2616.3756 
1352,2617.3761 
1351,2618.2389 
884,2621.3696 
322,2622.2447 
808,2623.3865 
1346,2624.2443 
751,2626.3870 
1318,2627.3774 
1054,2630.3594 
167,2631.3454 
442,2633.3184 
146,2634.3819 
1137,2635.3368 
1672,2636.2417 
174,2641.3214 
191,2642.3749 
307,2643.3702 
192,2644.3009 
485,2652.2460 
744,2656.1897 
395,2657.3725 
129,2658.2991 
1410,2659.3874 
583,2662.1945 
838,2663.3753 
1227,2664.4414 
725,2666.1941 
1278,2670.2490 
148,2678.1944 
244,2680.1900 
1330,2686.2001 
569,2687.1992 
1001,2691.1918 
1288,2692.1938 
476,2693.1923 
204,2698.1960 
1338,2700.1930 
812,2701.1898 
707,2702.1895 
274,2705.1871 
1202,2706.1926 
167,2707.1955 
1373,2708.1922 
1313,2709.1937 
462,2711.1852 
1232,2712.1875 
151,2713.1892 
1316,2714.1839 
1274,2715.1839 
377,2716.1842 
467,2718.1876 
1325,2722.1960 
643,2724.2003 
1334,2725.1997 
371,2726.1936 
249,2736.2331 
1238,2737.2422 
1268,2738.2802 
1043,2745.3327 
544,2746.2656 
640,2747.2042 
1068,2748.2390 
1272,2754.3254 
157,2755.3289 
765,2764.3383 
591,2768.2666 
647,2770.1978 
1292,2772.1965 
643,2776.2482 
1353,2777.3822 
1358,2781.3798 
505,2784.1974 
350,2785.3437 
153,2795.2472 
464,2797.1945 
1350,2798.2854 
330,2801.1953 
242,2806.2607 
339,2810.2187 
369,2811.2851 
915,2812.2828 
347,2818.2738 
512,2822.2714 
276,2823.2278 
348,2825.2175 
343,2826.2845 
155,2827.2809 
248,2828.2043 
1276,2829.2686 
373,2833.2199 
